src_text,label,language
"makhombo lawa hinkwawo ka wona a ya fanele ya siveriwile loko a ku tekiwile tindlela to ma sivela hi ku endla leswaku vana lava va kumeka etindhawini leti hlayisekeke.
",0,tso
amaqela oluntu aya kuxhaswa ngurhulumente wengingqi. Uluntu luyakhuthazwa ukuba luthathe inxaxheba kuguquko. Uluntu luyakhuthazwa ukuba luthathe inxaxheba kuguquko. Amaqela oluntu aya kuxhaswa ngurhulumente wengingqi. Kusungulwa inkqubo entsha yempilo yabantu kule nyanga izayo. IKomiti yendalo iya kubamba intlanganiso noluntu. Abasebenzi.,1,xho
"leswi swi ni nkoka loko hi tekela enhlokweni leswaku vatluri va nawu lava ehleketeriwaka va ringeta hi tindlela hinkwato ku fambafambisa, ku tumbeta kumbe ku susa rifuwo leri va ri kumeke hi vukungundzwana.
",0,tso
masipala u na zwiitiso zwa u khwinisa pfunzo na mutakalo. Komiti ya mutheo i khou ita mushumo wa u.,1,ven
ntirho wo hlawuleka wa ta sunguriwa emasunguleni ya n'hweti leyi taka. Swi laveka leswaku ku vekiwa swiboho leswi nga ta pfuna hinkwavo. Vahlayi va kombiwa ku tsarisa eka ntirho wa ndzhawu ya.,1,tso
"cach e kgokaganya baithuti le dibaka tša go ithuta silusapho nyanda bafsa bao ba sego ba hlwa ba hwetša dikgoba ka dihlongweng tša thuto ya godimo ba ka kgopela thušo go lefelo la go thuša barutwana bao ba hlaetšwego ke dikgoba ditheong tša thuto ya godingwana (cach).
",0,nso
"izigidi za bemi bomzantsi afrika be ziqwalasela inkolelo eba lulekileyo yokholo lwabo.
",0,xho
"naga ya temo ke motheo wa rena wa methopo ya tlhago.
",0,nso
"re tšea magato a re tseba gabotse gore ga a amogelege ebile a bea mapheko maphelong a batho, efela a swanetše gore a tšewe gore re kgone go feta sehloa sa bolwetši.
",0,nso
"hi fanele ku rhangela hi matimba ya hina ku herisa ntshikelelo, ku hlawula kuya hi rimbewu na ku siyerisana ka vavanuna.
",0,tso
izikolo ezintsha ziya kwakhiwa ukwenzela uncedo kubantwana. UMasipala ubhengeze izicwangciso zokuphucula iinkonzo. Abahlali bayacelwa ukuba babhalisele uncedo lwezindlu. UMasipala ubhengeze izicwangciso zokuphucula.,1,xho
vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda. Masipala u ṱalutshedza maano a u fhaṱa zwivhalo zwa mushumo. Vhathu vha ṱuṱuwedzwa u ṱanganela kha nyendo dza mvelaphanda. Masipala u na zwiitiso zwa u khwinisa pfunzo na mutakalo. Vhathu vha ṱuṱuwedzwa.,1,ven
"u khwiṋisa tshiimiswa tsha muvhuso zwi katela u pfumbudza vhaofisiri vha muvhalelano u mona na madavhi oṱhe a muvhuso kha thendelo yo teaho ya zwa mulayo.
",0,ven
"nndwa ya u lwa na vhulwadze ha tshitzhili tsha corona (covid19) afrika tshipembe yo khwaṱhiswa nga venthiḽeitha dza u tou thoma u itwa shangoni ḽashu.
",0,ven
nḓivhadzo ya nḓila dza u fhaṱa nḓila dzi khou itwa nga masipala. Hu khou lavhelelwa uri vhathu vha kone u wana maṅwalo o teaho..,1,ven
uMasipala ubhengeze izicwangciso zokuphucula iinkonzo. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo. Kusungulwa inkqubo entsha yempilo yabantu kule nyanga izayo. Abasebenzi boluntu. Abasebenzi boluntu bafumana uqeqesho ukuze baphucule iinkonzo..,1,xho
